featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00196	1572	9.5	8.64	4.44
BHNFMJIF_00197	679	4.5	4.50	5.36
BHNFMJIF_00198	1003	6.0	5.91	4.76
BHNFMJIF_00199	1866	166.0	165.67	71.78
BHNFMJIF_00200	3105	31.5	30.15	7.85
BHNFMJIF_00201	576	1.0	1.00	1.40
BHNFMJIF_00202	1059	7.5	7.50	5.73
BHNFMJIF_00203	1971	54.5	51.50	21.12
BHNFMJIF_00204	3201	73.0	70.12	17.71
BHNFMJIF_00205	285	30.5	20.36	57.74
BHNFMJIF_00206	555	21.0	7.65	11.14
BHNFMJIF_00207	3087	166.5	166.50	43.60
BHNFMJIF_00208	1683	128.5	128.50	61.73
BHNFMJIF_00209	633	29.5	28.48	36.37
BHNFMJIF_00210	1734	27.5	26.40	12.31
BHNFMJIF_00211	2010	21.0	17.81	7.16
BHNFMJIF_00212	3456	21.0	20.08	4.70
BHNFMJIF_00213	885	10.0	6.68	6.11
BHNFMJIF_00214	4404	861.0	853.56	156.69
BHNFMJIF_00215	2625	12.5	12.50	3.85
BHNFMJIF_00216	2130	77.0	75.78	28.76
BHNFMJIF_00217	798	26.5	22.81	23.11
BHNFMJIF_00218	1662	191.0	185.33	90.15
BHNFMJIF_00219	2001	187.5	182.09	73.57
BHNFMJIF_00220	351	204.0	186.07	428.55
BHNFMJIF_00221	849	193.5	171.63	163.43
BHNFMJIF_00222	825	704.5	655.79	642.62
BHNFMJIF_00223	1431	932.5	904.02	510.72
BHNFMJIF_00224	378	440.5	438.13	937.03
BHNFMJIF_00225	1125	245.5	243.10	174.69
BHNFMJIF_00226	773	422.0	393.11	411.12
BHNFMJIF_00227	1193	559.0	497.45	337.10
BHNFMJIF_00228	1662	432.5	421.73	205.14
BHNFMJIF_00229	768	77.0	69.22	72.86
BHNFMJIF_00230	1701	276.0	262.93	124.96
BHNFMJIF_00231	1305	494.5	492.91	305.35
BHNFMJIF_00232	2469	107.0	105.01	34.39
BHNFMJIF_00234	1656	14.0	14.00	6.83
BHNFMJIF_00235	736	3.0	1.77	1.95
BHNFMJIF_00236	211	3.0	2.44	9.37
BHNFMJIF_00237	618	0.5	0.50	0.65
BHNFMJIF_00238	892	3.5	3.50	3.17
BHNFMJIF_00239	349	0.0	0.00	0.00
BHNFMJIF_00240	1047	4.0	3.90	3.01
BHNFMJIF_00241	1026	1.0	0.42	0.33
BHNFMJIF_00242	243	12.0	8.53	28.37
BHNFMJIF_00243	663	26.5	24.61	30.01
BHNFMJIF_00244	741	28.0	24.45	26.68
BHNFMJIF_00245	762	70.5	65.50	69.49
BHNFMJIF_00246	183	8.0	5.73	25.30
BHNFMJIF_00247	1120	294.5	283.70	204.78
BHNFMJIF_00248	703	119.0	87.63	100.77
BHNFMJIF_00249	105	79.0	18.90	145.55
BHNFMJIF_00250	174	5.5	3.55	16.48
BHNFMJIF_00253	2229	471.0	468.57	169.94
BHNFMJIF_00254	729	69.0	57.10	63.32
BHNFMJIF_00255	588	442.0	406.03	558.24
BHNFMJIF_00256	1364	694.5	655.09	388.27
BHNFMJIF_00257	737	862.0	814.87	893.85
BHNFMJIF_00258	608	746.5	470.19	625.20
BHNFMJIF_00259	692	958.0	841.10	982.62
BHNFMJIF_00260	465	243.0	217.80	378.67
BHNFMJIF_00261	722	24.5	23.39	26.19
BHNFMJIF_00262	1052	15.5	15.02	11.54
BHNFMJIF_00263	1221	3.5	3.43	2.27
BHNFMJIF_00264	744	0.0	0.00	0.00
BHNFMJIF_00265	1209	0.0	0.00	0.00
BHNFMJIF_00266	1344	0.0	0.00	0.00
BHNFMJIF_00267	219	80.5	67.12	247.77
BHNFMJIF_00268	1503	241.0	226.06	121.59
BHNFMJIF_00269	1146	247.0	240.31	169.52
BHNFMJIF_00270	705	399.5	376.78	432.06
BHNFMJIF_00271	1509	647.0	622.41	333.45
BHNFMJIF_00272	1437	1161.0	1149.61	646.75
BHNFMJIF_00273	1179	296.0	281.24	192.85
BHNFMJIF_00274	1170	552.0	530.94	366.86
BHNFMJIF_00275	1059	1062.5	960.31	733.09
BHNFMJIF_00276	1299	388.0	379.27	236.04
BHNFMJIF_00277	951	354.5	340.46	289.42
BHNFMJIF_00278	1434	47.5	45.61	25.71
BHNFMJIF_00279	933	65.0	61.47	53.26
BHNFMJIF_00280	1449	339.0	328.79	183.44
BHNFMJIF_00281	726	13.0	10.61	11.82
BHNFMJIF_00282	645	22.0	18.21	22.83
BHNFMJIF_00283	767	9.5	8.66	9.13
BHNFMJIF_00284	631	4.0	3.70	4.74
BHNFMJIF_00285	1166	19.5	16.33	11.32
BHNFMJIF_00286	1272	66.5	64.42	40.94
BHNFMJIF_00287	960	8.0	7.58	6.38
BHNFMJIF_00288	366	1131.5	1128.68	2493.06
BHNFMJIF_00289	1413	777.0	759.52	434.55
BHNFMJIF_00290	1266	554.0	519.59	331.80
BHNFMJIF_00291	1941	1132.0	1100.43	458.33
BHNFMJIF_00292	666	11.0	10.59	12.86
BHNFMJIF_00293	1170	208.0	201.09	138.95
BHNFMJIF_00294	1047	87.0	83.12	64.18
BHNFMJIF_00295	327	37.0	32.58	80.55
BHNFMJIF_00296	498	60.5	56.70	92.04
BHNFMJIF_00297	717	78.0	66.49	74.97
BHNFMJIF_00298	1251	187.5	178.60	115.42
BHNFMJIF_00299	1518	1051.5	1046.22	557.18
BHNFMJIF_00300	2214	288.0	283.34	103.46
BHNFMJIF_00301	354	36.0	26.41	60.31
BHNFMJIF_00302	414	742.0	737.10	1439.36
BHNFMJIF_00303	772	26.5	22.03	23.06
BHNFMJIF_00304	727	14.0	10.96	12.18
BHNFMJIF_00305	1992	391.5	384.55	156.07
BHNFMJIF_00306	846	75.0	69.48	66.40
BHNFMJIF_00307	483	338.0	321.86	538.72
BHNFMJIF_00308	120	10.0	0.70	4.73
BHNFMJIF_00309	552	1263.0	1249.52	1829.99
BHNFMJIF_00310	858	378.5	371.64	350.17
BHNFMJIF_00311	1893	922.5	919.92	392.86
BHNFMJIF_00312	2598	883.0	880.14	273.88
BHNFMJIF_00313	3342	187.5	186.90	45.21
BHNFMJIF_00314	1689	1702.5	1660.40	794.74
BHNFMJIF_00315	1167	659.5	636.54	440.96
BHNFMJIF_00316	822	1430.0	1349.55	1327.28
BHNFMJIF_00317	651	566.0	507.75	630.55
BHNFMJIF_00318	1349	242.5	241.32	144.62
BHNFMJIF_00319	1445	253.0	249.47	139.57
BHNFMJIF_00320	1254	971.5	909.32	586.23
BHNFMJIF_00321	382	149.5	112.39	237.86
BHNFMJIF_00322	1246	1391.5	1348.66	875.04
BHNFMJIF_00323	396	247.0	221.16	451.49
BHNFMJIF_00324	861	15375.0	15353.16	14415.79
BHNFMJIF_00325	1524	973.0	946.42	502.04
BHNFMJIF_00326	588	58.0	50.80	69.84
BHNFMJIF_00327	837	179.5	170.82	164.99
BHNFMJIF_00328	3138	349.5	337.26	86.89
BHNFMJIF_00329	1341	74.0	72.55	43.74
BHNFMJIF_00330	1341	24.5	22.94	13.83
BHNFMJIF_00331	2754	83.0	80.18	23.54
BHNFMJIF_00332	3312	85.0	82.56	20.15
BHNFMJIF_00333	2112	289.5	284.35	108.84
BHNFMJIF_00334	2334	52.5	44.42	15.39
BHNFMJIF_00335	1743	296.5	290.07	134.54
BHNFMJIF_00336	2004	370.5	367.58	148.29
BHNFMJIF_00337	972	675.0	666.65	554.46
BHNFMJIF_00338	288	175.5	127.51	357.92
BHNFMJIF_00339	1329	260.5	230.91	140.46
BHNFMJIF_00340	603	292.5	278.60	373.52
BHNFMJIF_00341	576	54.5	51.37	72.10
BHNFMJIF_00342	1656	223.0	201.04	98.15
BHNFMJIF_00343	1350	490.5	485.75	290.89
BHNFMJIF_00344	197	15.0	9.61	39.44
BHNFMJIF_00345	197	15.5	12.46	51.13
BHNFMJIF_00347	706	47.5	43.58	49.90
BHNFMJIF_00348	727	63.0	58.76	65.35
BHNFMJIF_00349	4398	211.0	207.50	38.14
BHNFMJIF_00350	243	1212.0	1182.66	3934.57
BHNFMJIF_00351	1500	741.5	703.42	379.11
BHNFMJIF_00352	1287	6.0	5.93	3.72
BHNFMJIF_00353	491	130.5	127.77	210.37
BHNFMJIF_00354	2156	492.0	481.73	180.63
BHNFMJIF_00355	177	77.5	32.80	149.80
BHNFMJIF_00356	1014	46.0	41.22	32.86
BHNFMJIF_00357	648	5.5	2.68	3.34
BHNFMJIF_00358	645	3.0	2.67	3.35
BHNFMJIF_00359	426	144.5	142.52	270.47
BHNFMJIF_00360	534	18.0	17.43	26.39
BHNFMJIF_00361	1041	94.0	92.71	72.00
BHNFMJIF_00362	354	11.0	10.63	24.28
BHNFMJIF_00363	498	1.5	1.50	2.44
BHNFMJIF_00364	639	1.5	1.50	1.90
BHNFMJIF_00365	861	0.0	0.00	0.00
BHNFMJIF_00366	342	0.0	0.00	0.00
BHNFMJIF_00367	168	0.0	0.00	0.00
BHNFMJIF_00368	687	0.5	0.44	0.52
BHNFMJIF_00369	1056	0.5	0.12	0.09
BHNFMJIF_00370	218	15.0	11.34	42.05
BHNFMJIF_00371	1556	33.0	29.13	15.13
BHNFMJIF_00372	1046	3.0	2.13	1.65
BHNFMJIF_00373	593	2.0	1.16	1.58
BHNFMJIF_00374	474	38.0	30.58	52.16
BHNFMJIF_00375	546	41.5	37.70	55.82
BHNFMJIF_00376	453	198.0	79.23	141.40
BHNFMJIF_00377	789	0.5	0.50	0.51
BHNFMJIF_00378	1566	0.0	0.00	0.00
BHNFMJIF_00380	1080	375.5	349.86	261.89
BHNFMJIF_00381	2232	206.5	205.62	74.48
BHNFMJIF_00382	1442	195.5	191.36	107.28
BHNFMJIF_00383	3230	164.0	162.03	40.55
BHNFMJIF_00384	2841	31.5	30.89	8.79
BHNFMJIF_00385	3192	35.5	33.17	8.40
BHNFMJIF_00386	1500	265.5	264.21	142.40
BHNFMJIF_00387	3075	218.0	217.23	57.11
BHNFMJIF_00388	114	1.0	0.37	2.61
BHNFMJIF_00389	1446	220.5	216.89	121.26
BHNFMJIF_00390	3120	363.0	339.17	87.88
BHNFMJIF_00391	1599	280.0	270.84	136.93
BHNFMJIF_00392	4281	98.0	97.81	18.47
BHNFMJIF_00393	269	95.5	87.40	262.67
BHNFMJIF_00394	569	69.0	61.55	87.45
BHNFMJIF_00395	2706	44.5	42.06	12.57
BHNFMJIF_00396	930	90.5	88.57	76.99
BHNFMJIF_00397	567	3.0	3.00	4.28
BHNFMJIF_00398	1095	2.0	2.00	1.48
BHNFMJIF_00399	573	0.0	0.00	0.00
BHNFMJIF_00400	1410	1.0	1.00	0.57
BHNFMJIF_00401	1539	2.5	2.50	1.31
BHNFMJIF_00402	948	3.5	3.50	2.98
BHNFMJIF_00403	942	16.5	13.87	11.90
BHNFMJIF_00404	1404	17.0	14.99	8.63
BHNFMJIF_00405	792	5.0	4.13	4.22
BHNFMJIF_00406	2412	75.5	73.56	24.65
BHNFMJIF_00407	446	0.5	0.50	0.91
BHNFMJIF_00408	98	0.0	0.00	0.00
BHNFMJIF_00409	429	0.0	0.00	0.00
BHNFMJIF_00410	231	1.5	1.35	4.72
BHNFMJIF_00411	2379	29.0	28.30	9.62
BHNFMJIF_00412	198	0.5	0.50	2.04
BHNFMJIF_00413	501	25.0	21.72	35.06
BHNFMJIF_00414	291	150.0	131.79	366.14
BHNFMJIF_00415	1518	27.5	25.46	13.56
BHNFMJIF_00416	1089	20.5	16.26	12.07
BHNFMJIF_00417	1216	24.0	20.36	13.53
BHNFMJIF_00418	614	24.5	22.00	28.96
BHNFMJIF_00419	1093	17.0	15.03	11.12
BHNFMJIF_00420	1527	28.5	27.51	14.57
BHNFMJIF_00421	687	15.5	14.26	16.78
BHNFMJIF_00422	1038	11.5	11.28	8.78
BHNFMJIF_00423	780	12.5	10.76	11.15
BHNFMJIF_00424	1104	16.0	12.45	9.12
BHNFMJIF_00425	1056	15.5	11.71	8.96
BHNFMJIF_00426	1101	21.0	14.74	10.82
BHNFMJIF_00427	549	8.5	5.10	7.51
BHNFMJIF_00428	960	11.0	10.00	8.42
BHNFMJIF_00429	906	13.5	12.95	11.56
BHNFMJIF_00430	819	13.0	11.15	11.00
BHNFMJIF_00431	1080	27.5	22.37	16.75
BHNFMJIF_00432	1083	27.5	22.86	17.07
BHNFMJIF_00433	1044	33.5	32.25	24.97
BHNFMJIF_00434	429	46.5	27.75	52.29
BHNFMJIF_00435	2145	25.5	25.45	9.59
BHNFMJIF_00436	1824	6.5	6.04	2.68
BHNFMJIF_00437	2106	10.5	10.36	3.98
BHNFMJIF_00438	3975	73.5	72.88	14.82
BHNFMJIF_00439	1470	31.0	28.76	15.81
BHNFMJIF_00440	1200	28.0	25.17	16.96
BHNFMJIF_00441	2445	11.5	11.11	3.67
BHNFMJIF_00442	1296	2289.5	2261.77	1410.87
BHNFMJIF_00443	1569	268.0	264.00	136.02
BHNFMJIF_00444	207	165.5	135.68	529.88
BHNFMJIF_00445	2418	710.5	705.47	235.87
BHNFMJIF_00447	534	96.5	80.30	121.56
BHNFMJIF_00448	954	178.5	171.73	145.53
BHNFMJIF_00449	496	59.0	47.72	77.78
BHNFMJIF_00450	649	73.5	64.63	80.51
BHNFMJIF_00451	573	30.0	25.38	35.81
BHNFMJIF_00452	1017	81.0	75.51	60.03
BHNFMJIF_00453	603	54.5	51.37	68.87
BHNFMJIF_00454	678	208.5	205.35	244.85
BHNFMJIF_00455	2043	574.5	567.00	224.37
BHNFMJIF_00456	495	94.0	80.33	131.20
BHNFMJIF_00457	435	80.5	54.86	101.96
BHNFMJIF_00458	1741	304.5	285.82	132.72
BHNFMJIF_00459	454	241.0	209.94	373.83
BHNFMJIF_00460	287	392.0	355.72	1002.00
BHNFMJIF_00461	1112	163.0	148.31	107.83
BHNFMJIF_00462	678	680.5	676.69	806.87
BHNFMJIF_00463	507	58.5	51.42	81.99
BHNFMJIF_00466	705	711.5	686.93	787.72
BHNFMJIF_00467	294	24.0	20.04	55.11
BHNFMJIF_00468	759	137.5	136.96	145.88
BHNFMJIF_00469	366	1800.5	1785.10	3942.98
BHNFMJIF_00470	753	191.5	158.37	170.03
BHNFMJIF_00471	514	170.0	145.86	229.41
BHNFMJIF_00472	1252	626.0	615.72	397.58
BHNFMJIF_00473	1299	1545.0	1521.36	946.82
BHNFMJIF_00474	897	232.5	227.83	205.33
BHNFMJIF_00475	1200	59.0	49.00	33.01
BHNFMJIF_00476	723	53.0	45.49	50.86
BHNFMJIF_00477	998	85.0	78.15	63.31
BHNFMJIF_00478	947	80.5	58.90	50.28
BHNFMJIF_00479	843	159.5	145.29	139.33
BHNFMJIF_00480	711	216.5	201.82	229.47
BHNFMJIF_00481	1101	469.5	450.17	330.55
BHNFMJIF_00482	1065	308.0	292.86	222.31
BHNFMJIF_00483	1050	491.5	477.60	367.72
BHNFMJIF_00484	2472	116.5	114.12	37.32
BHNFMJIF_00485	1317	94.0	90.80	55.74
BHNFMJIF_00486	1275	28.5	23.15	14.68
BHNFMJIF_00487	555	411.0	400.26	583.03
BHNFMJIF_00488	558	82.5	73.93	107.11
BHNFMJIF_00489	633	48.5	44.72	57.11
BHNFMJIF_00490	639	32.5	31.65	40.04
BHNFMJIF_00491	1036	26.5	25.42	19.84
BHNFMJIF_00492	778	19.5	16.28	16.92
BHNFMJIF_00493	836	190.0	183.05	177.02
BHNFMJIF_00494	548	99.5	75.55	111.45
BHNFMJIF_00495	207	25.0	14.85	57.98
BHNFMJIF_00496	698	180.5	169.39	196.18
BHNFMJIF_00497	1661	174.5	162.35	79.02
BHNFMJIF_00498	138	25.0	3.27	19.18
BHNFMJIF_00499	1797	7291.0	7183.29	3231.61
BHNFMJIF_00500	447	848.5	787.57	1424.38
BHNFMJIF_00501	828	156.5	133.05	129.90
BHNFMJIF_00502	552	42.5	30.89	45.24
BHNFMJIF_00503	378	41.0	35.94	76.87
BHNFMJIF_00504	447	90.0	84.77	153.32
BHNFMJIF_00505	3162	91.5	91.09	23.29
BHNFMJIF_00506	1743	94.5	90.04	41.76
BHNFMJIF_00507	786	153.5	152.83	157.19
BHNFMJIF_00508	2628	600.5	598.98	184.26
BHNFMJIF_00509	441	197.5	178.65	327.49
BHNFMJIF_00510	542	174.5	168.70	251.62
BHNFMJIF_00511	374	666.5	585.19	1264.94
BHNFMJIF_00512	450	713.5	663.66	1192.27
BHNFMJIF_00513	993	320.0	313.71	255.40
BHNFMJIF_00514	3297	1911.0	1903.45	466.73
BHNFMJIF_00515	1580	387.5	371.85	190.26
BHNFMJIF_00516	1172	84.0	80.71	55.67
BHNFMJIF_00517	715	184.0	160.91	181.94
BHNFMJIF_00518	1303	1215.0	1161.30	720.52
BHNFMJIF_00519	1356	1497.0	1395.64	832.07
BHNFMJIF_00520	645	276.5	105.52	132.26
BHNFMJIF_00521	1260	105.0	99.95	64.13
BHNFMJIF_00522	2133	1424.5	1406.70	533.16
BHNFMJIF_00523	1086	101.5	100.29	74.66
BHNFMJIF_00524	1044	739.0	726.02	562.20
BHNFMJIF_00525	743	343.0	303.28	329.98
BHNFMJIF_00526	554	277.0	258.91	377.82
BHNFMJIF_00527	1698	1246.5	1201.68	572.13
BHNFMJIF_00528	1803	1367.0	1290.03	578.43
BHNFMJIF_00529	93	8.5	3.47	30.19
BHNFMJIF_00530	375	211.0	194.15	418.54
BHNFMJIF_00531	579	1030.5	1025.19	1431.42
BHNFMJIF_00532	1443	176.0	156.98	87.95
BHNFMJIF_00533	3282	262.0	256.71	63.23
BHNFMJIF_00534	1341	98.5	95.68	57.68
BHNFMJIF_00535	1265	95.0	92.77	59.29
