baseMean	log2FoldChange	lfcSE	pvalue	padj
JJAGMNAF_00093	323.969500658676	-0.760546851572132	0.13832741687021	2.67490178161385e-08	5.87558278320094e-08
JJAGMNAF_00094	109.545999028632	-0.150147557004096	0.200741712995268	0.443335987068	0.489311570912089
JJAGMNAF_00095	370.890073024285	-0.139592256923804	0.135353562732368	0.297200867664425	0.338612033592179
JJAGMNAF_00096	102.530184576625	0.794985446242074	0.201173889495495	5.35400008950313e-05	9.31221027240428e-05
JJAGMNAF_00097	819.408050006753	-0.155033665230581	0.103623525803017	0.132224875592323	0.160385574132002
JJAGMNAF_00098	356.899094178573	-0.0579311506434954	0.139198201500099	0.674361078389832	0.706800033446974
JJAGMNAF_00099	496.747545809469	0.160822624067837	0.126863789194604	0.202115261992425	0.23723113026857
JJAGMNAF_00100	490.000605558201	0.0196099501043785	0.114032837598695	0.863299800886433	0.87869831725898
JJAGMNAF_00101	1532.14301268736	-0.112486852323633	0.0920181179768852	0.219508504521793	0.256300308718959
JJAGMNAF_00102	1266.16920401849	0.278285238395611	0.0905277576497461	0.00203660756042509	0.00309472038360346
JJAGMNAF_00103	944.029999537255	0.380965324083545	0.105780576802295	0.000289494208697773	0.000477211719562033
JJAGMNAF_00104	727.233613701772	0.926534889922947	0.104291967032208	4.35954688299302e-19	1.69946289828304e-18
JJAGMNAF_00105	195.13345065906	-0.403752134445681	0.174805628973563	0.0190446178451267	0.0260627767164279
JJAGMNAF_00106	566.856275444776	0.965688161783392	0.112604286494973	6.07613545910577e-18	2.26022126231923e-17
JJAGMNAF_00109	346.959493515411	1.35451601594215	0.125511768004316	1.41670815703369e-27	7.46485516142308e-27
JJAGMNAF_00110	67.879651010471	0.196964397485688	0.242608107086963	0.402726716806007	0.446842342359463
JJAGMNAF_00112	105.193774068211	-0.853170599220787	0.199886168485084	1.35299901288483e-05	2.46685476040592e-05
JJAGMNAF_00113	190.788053635368	-1.42831470209549	0.167689467299085	7.3872744189905e-18	2.73278206782518e-17
JJAGMNAF_00116	213.28661104657	-0.754584647289618	0.149985620421282	3.54655412510395e-07	7.28319920637733e-07
JJAGMNAF_00117	140.008063656628	-1.14977632668017	0.188149361397847	4.40110022836756e-10	1.07600280879506e-09
JJAGMNAF_00118	1393.59115559538	2.68114278979542	0.118837342980415	8.32323828014753e-114	2.21019060072828e-112
JJAGMNAF_00119	536.550304028218	-1.22563097619357	0.137603657746495	2.0002514597716e-19	7.92418672837139e-19
JJAGMNAF_00120	65.5805414821598	-1.41957593233947	0.274033892318563	7.55962205286158e-08	1.60656944102811e-07
JJAGMNAF_00121	62.338979191669	-5.04981075688954	0.550680335818516	5.56669545815292e-20	2.24847548475394e-19
JJAGMNAF_00148	501.88126989612	3.02456491037907	0.131554611363951	6.70689400705114e-119	1.97669117878145e-117
JJAGMNAF_00149	698.134355837804	-0.00087440495290687	0.11476529725834	0.992820573201138	0.993992244529224
JJAGMNAF_00150	1099.28543515536	0.78420418210203	0.104881654451046	5.50791062836236e-14	1.68057068319316e-13
JJAGMNAF_00151	1373.21665256732	-0.7185264270278	0.0995601590420764	4.03734364740186e-13	1.17825415259323e-12
JJAGMNAF_00152	296.307298602988	2.76672893440138	0.444759102735972	5.37092363638392e-11	1.38507857622901e-10
JJAGMNAF_00153	606.449855428788	0.452796446324723	0.11001370898474	3.52004827012262e-05	6.2069490206896e-05
JJAGMNAF_00154	121.266512939317	0.927276970608464	0.202924061012911	3.5016198782773e-06	6.69853388982862e-06
JJAGMNAF_00155	75.5895038583436	0.961615721445565	0.224360956706792	1.05231330164915e-05	1.93706539123062e-05
JJAGMNAF_00156	3580.08486032945	2.48191469512282	0.289089705692877	1.4214327629414e-18	5.39983381049411e-18
JJAGMNAF_00158	902.413171395053	0.534884409431011	0.097529549088701	3.64992443237641e-08	7.93281793163172e-08
JJAGMNAF_00160	46.3831559099701	0.793984522734967	0.280344400996275	0.00310991539388679	0.00463892830167095
JJAGMNAF_00161	51.6651517859595	0.691368884801832	0.272704965420572	0.00827459865015101	0.0117982315681579
JJAGMNAF_00163	64.6254292407842	0.0689968224833988	0.257268102882212	0.783788853957339	0.805719320166188
JJAGMNAF_00166	301.428139984795	-0.294934603315053	0.131998197350914	0.023972772704441	0.0322994011649982
JJAGMNAF_00167	197.050679016363	-0.547955172623252	0.153783119716186	0.000308021306902384	0.000506196780093256
JJAGMNAF_00170	53.176499865045	-0.985712721660759	0.286124526349934	0.00031225172246683	0.000512520881062446
JJAGMNAF_00171	38.0927088566745	-2.54333903758989	0.391705892215259	1.70516282680571e-11	4.5279670311811e-11
JJAGMNAF_00187	90.9319157495598	0.992098672927727	0.209447494052885	1.23433752992382e-06	2.43061178799977e-06
JJAGMNAF_00188	84.5799329946935	-1.076856368154	0.23922085892235	3.81431894116259e-06	7.27596258904556e-06
JJAGMNAF_00192	41.7936234635416	-0.11242922115317	0.289541477592485	0.684797325132819	0.716312958660772
JJAGMNAF_00194	55.8501955424087	-2.86037122577567	0.37224362176629	1.65847502243143e-15	5.56003751270137e-15
JJAGMNAF_00195	293.029891212336	-2.97508729422476	0.182063946602518	2.89698223440089e-61	3.32038733019794e-60
JJAGMNAF_00196	596.24570015517	-0.656682719974028	0.111753414310517	3.22799836978955e-09	7.50866576563363e-09
JJAGMNAF_00197	45.8081288898314	-1.58143636947301	0.617696805625485	0.0027539464504635	0.00412169887284771
JJAGMNAF_00198	368.935155072237	-2.18261846719639	0.158851480780878	1.76930765769605e-43	1.47828135138343e-42
JJAGMNAF_00199	722.223762174976	1.817930955133	0.142408424296575	5.7312647354195e-38	4.06646878846431e-37
JJAGMNAF_00200	1850.26461655495	1.48706177153948	0.105518100129528	1.2201116313414e-45	1.06939195923452e-44
JJAGMNAF_00201	938.973695426804	-2.32457566334969	0.108633083061745	1.96149161807153e-102	4.69707189256058e-101
JJAGMNAF_00202	619.79176494669	-2.2476993753186	0.129814165997828	5.15468305118494e-68	6.87803977277513e-67
JJAGMNAF_00203	346.237828207506	-0.853864688660636	0.13338418862519	1.06831791803964e-10	2.697955420134e-10
JJAGMNAF_00204	296.754066352722	-0.6070312941831	0.142713542266905	1.78349363072718e-05	3.21244453835479e-05
JJAGMNAF_00205	436.195163018127	-0.192059679696737	0.119517953434315	0.10522607540153	0.130293783114913
JJAGMNAF_00207	541.158533300048	0.884731056243801	0.112134718236629	2.05070955186123e-15	6.83230188582836e-15
JJAGMNAF_00208	589.448212475187	2.42070872595078	0.120434046396067	1.9558178849372e-90	3.72021529602948e-89
JJAGMNAF_00209	1027.30557318249	0.291948058235518	0.100666585949545	0.00354730229183706	0.00526792067923975
JJAGMNAF_00210	409.212977720615	-0.602710977207454	0.125385355191489	1.21940676917073e-06	2.40474187861464e-06
JJAGMNAF_00211	486.83740922301	0.530051560742461	0.12930531906925	3.45067465336687e-05	6.09664652195649e-05
JJAGMNAF_00212	416.758670936706	-0.116092349553593	0.124870213550922	0.348726954697828	0.391988974224465
JJAGMNAF_00213	1113.66256477412	-0.470941536802792	0.103095572595999	4.24156636369281e-06	8.0680007003008e-06
JJAGMNAF_00214	1627.90188961157	0.678738171330771	0.104831578169113	7.11989900630424e-11	1.82383659359197e-10
JJAGMNAF_00215	1150.59605658177	0.17794712898627	0.123847102167137	0.147941500083059	0.177688805742393
JJAGMNAF_00216	4547.8397799299	-0.0898248001298328	0.0873926747863794	0.301121160147904	0.342601992104672
JJAGMNAF_00217	1118.49039056947	-0.023327842277549	0.0950282736154451	0.80463886272138	0.82336567333794
JJAGMNAF_00218	262.10970252219	0.24582077675057	0.137506609743178	0.0714687741114183	0.0902020010196819
JJAGMNAF_00219	349.715145045188	0.570882250478576	0.130031187787385	9.11079850197192e-06	1.68634655502337e-05
JJAGMNAF_00221	179.357229760863	-2.74177036843509	0.199871092118087	1.15276118971968e-43	9.72234437367351e-43
JJAGMNAF_00225	73.6939851829286	-2.71012525991562	0.297593079307311	1.6190057575745e-20	6.67000528696592e-20
JJAGMNAF_00226	90.5910281377548	-1.17874287489852	0.22351448067673	6.66076048621742e-08	1.42457413269818e-07
JJAGMNAF_00229	50.643147425778	-2.3793834648846	0.337437806869131	3.21572802841186e-13	9.42577330295148e-13
JJAGMNAF_00230	95.3794292909724	-2.67763606550345	0.26112328882314	1.87851925051744e-25	9.32997894423664e-25
JJAGMNAF_00231	171.460687226306	-0.627711493729912	0.170277967655582	0.000181263495471082	0.000303842934283402
JJAGMNAF_00232	167.418084962119	1.00727664695964	0.176241485056348	5.80965506556114e-09	1.33403209638998e-08
JJAGMNAF_00242	260.162544646161	0.286946156912015	0.144909332732029	0.0450820245110732	0.0589229969486834
JJAGMNAF_00243	527.926724545156	0.0229890614116907	0.12880693556558	0.859315254162022	0.875307068614715
JJAGMNAF_00244	556.328213769144	-0.895741961968706	0.119106573981442	3.30515254879879e-14	1.02242435246578e-13
JJAGMNAF_00245	104.851448173889	0.628972394614321	0.209131973072263	0.00208467280770623	0.00316238261892992
JJAGMNAF_00246	942.50153022226	-0.831181890006295	0.101270711927916	1.44623092958685e-16	5.09027736634111e-16
JJAGMNAF_00247	337.957947648376	-0.163620741482918	0.131258858890619	0.208880211949205	0.244849968727172
JJAGMNAF_00248	516.391169097298	-0.00663087649626238	0.115801330518544	0.953220461894851	0.959301042702435
JJAGMNAF_00249	341.408753089647	0.313754178436009	0.133164740290902	0.0176923921018061	0.0242964647296692
JJAGMNAF_00250	439.561739000575	-0.344942970938526	0.122479841789914	0.00453803114035507	0.00665809601664786
JJAGMNAF_00251	1344.47505941041	-1.54914439675236	0.115878437625321	2.81189878474561e-41	2.20512062593208e-40
JJAGMNAF_00252	3178.77275491699	-1.79977944892085	0.0912354864266933	2.5594606445137e-87	4.63815773553091e-86
JJAGMNAF_00253	715.308435868411	-1.09692096409526	0.115964913956294	1.44875218334969e-21	6.21688536919017e-21
JJAGMNAF_00254	1844.17943303033	-0.173668836083045	0.109020401282535	0.108890776158236	0.134520986483827
JJAGMNAF_00255	12577.6044431088	-2.43031495154951	0.0820879039142275	1.45806250710243e-193	9.77630911012178e-192
JJAGMNAF_00256	747.69322581658	-1.89072325122245	0.120091298228554	2.33208503599145e-56	2.53061164157559e-55
JJAGMNAF_00257	522.097014194431	-0.409705030755475	0.111828093179244	0.000227485227248014	0.000378483486029265
JJAGMNAF_00259	2000.83973269986	0.667218157557793	0.0897607919741612	8.21799097297388e-14	2.47092508851076e-13
JJAGMNAF_00260	910.511011201372	0.709365332242686	0.110728028624816	1.1962589368529e-10	3.01255067477885e-10
JJAGMNAF_00261	1234.46571799203	1.45029333364422	0.0996746852704823	2.13319237940476e-48	1.9660556568947e-47
JJAGMNAF_00262	239.283446413271	1.22126232365052	0.169398898897823	3.12367798263364e-13	9.16597850046327e-13
JJAGMNAF_00263	348.594141778481	0.329781255114647	0.130517334417263	0.0110461190727176	0.0155352340603191
JJAGMNAF_00264	200.189670948164	1.32132189089176	0.155499383115655	6.97331187475825e-18	2.58320752045602e-17
JJAGMNAF_00265	218.86779301987	0.197074163103783	0.16258814970446	0.218112845750888	0.254781642989495
JJAGMNAF_00266	2137.45605765477	0.568604965339537	0.0913646870954189	4.01131611624551e-10	9.81601261292924e-10
JJAGMNAF_00267	172.97461889601	1.51192167571171	0.16605522161143	2.81621297222171e-20	1.14963214482475e-19
JJAGMNAF_00268	768.738601688169	-1.35262920396252	0.117973752173705	9.31095510826566e-31	5.42869165225402e-30
JJAGMNAF_00269	445.53179655183	-1.15403167159852	0.125092741551927	1.49812459206799e-20	6.18149254757901e-20
JJAGMNAF_00270	726.978342251475	-1.01543002468112	0.131630717893501	6.62633514937734e-15	2.14101586881568e-14
JJAGMNAF_00271	468.483603786514	-1.15607890271533	0.12274920974226	2.03705767171041e-21	8.68583255250768e-21
JJAGMNAF_00272	389.12937025443	-0.32882458642063	0.123743909761633	0.0073054131142166	0.0104608211277784
JJAGMNAF_00273	1329.20471571638	3.17797610943512	0.113472959911266	4.37549516373332e-172	2.21416566587411e-170
JJAGMNAF_00274	78.5826854634676	0.128171052654768	0.263329186073451	0.614604278700546	0.652044570994804
JJAGMNAF_00275	237.462910018598	-0.22498302307642	0.150371271409525	0.130895874637705	0.15892382787611
JJAGMNAF_00276	325.894915323991	0.0409274305876566	0.125561337669892	0.743253502809612	0.770249572849838
JJAGMNAF_00277	219.061847440368	0.406765913305716	0.156318323626724	0.00851863833398105	0.0121268513862724
JJAGMNAF_00278	683.90454853926	1.01464299175511	0.129233369824674	2.03542167363446e-15	6.78980215010898e-15
JJAGMNAF_00279	1159.9261898191	1.22687852638755	0.0960539126420892	1.20403425255734e-37	8.4979470141021e-37
JJAGMNAF_00281	136.169327780215	-0.488660129129108	0.177361833044446	0.00501827336759508	0.0073266244811595
JJAGMNAF_00282	167.096043808136	0.301736554190916	0.158332975531191	0.0537606337095738	0.069386919927371
JJAGMNAF_00283	88.055661945152	-1.98860618334193	0.246466107752494	2.294819978142e-16	7.99312620958031e-16
JJAGMNAF_00284	257.808083931049	0.277882724584038	0.147121388976409	0.0565216124422366	0.0725315619952529
