baseMean	log2FoldChange	lfcSE	pvalue	padj
BHNFMJIF_00136	314.30837340693	-0.500559616214576	0.251221933203605	0.039759391534316	0.0482135552134819
BHNFMJIF_00137	294.000754268195	-1.04590276744227	0.169930546579195	4.61003587742428e-10	9.34459083318291e-10
BHNFMJIF_00138	1292.57983841292	-0.0421921369790341	0.100143721252599	0.670418638045969	0.696408559997988
BHNFMJIF_00139	1508.05431004249	-3.67997667387428	0.121762346416987	2.1422566563886e-201	9.18666425895476e-200
BHNFMJIF_00140	819.309409101894	-3.40446227099968	0.121281233433888	3.52549735264595e-174	1.27925189653153e-172
BHNFMJIF_00141	2905.70675470836	-5.21917123804585	0.151142524913715	2.41985746275848e-262	1.5980738684057e-260
BHNFMJIF_00142	424.812701454048	1.56777254152031	0.132796851476998	8.83951159181703e-33	4.16377564567473e-32
BHNFMJIF_00143	117.13956118235	0.37726767395671	0.164251737802482	0.0196485331336985	0.0245662462731815
BHNFMJIF_00144	3863.10112891018	5.76514943468894	0.100643801423811	0	0
BHNFMJIF_00145	2454.03928299667	5.41717404353047	0.0917227396710459	0	0
BHNFMJIF_00146	243.717011739107	-0.939483278991338	0.152252253021223	4.20772759385881e-10	8.53434675363746e-10
BHNFMJIF_00148	401.587481689646	-3.67487189078664	0.127875852726267	1.04269849477533e-182	4.09879813065255e-181
BHNFMJIF_00151	255.553627933208	-0.727809960744932	0.164815251802782	7.57463031769536e-06	1.21238144978333e-05
BHNFMJIF_00152	288.865455960503	0.38972400954091	0.161871376742514	0.0147770648043593	0.0187596570488252
BHNFMJIF_00153	609.959589736612	1.34124792592328	0.0779570542861154	7.76022654455265e-67	8.18666710866225e-66
BHNFMJIF_00154	411.913616220811	1.30591672340558	0.123333937577492	1.22472577035772e-26	4.89001752566043e-26
BHNFMJIF_00155	370.900037889083	0.184930969247514	0.143405018463871	0.192777742254126	0.217179155552072
BHNFMJIF_00156	270.656262825135	1.00840999417671	0.122093182737286	7.78775818375106e-17	2.17188999347517e-16
BHNFMJIF_00157	455.263189686804	-0.544266141869064	0.143146112158977	0.000123531819849859	0.000182343347851692
BHNFMJIF_00158	510.404203679724	1.0937925835934	0.0944327631886406	2.01073463138735e-31	9.1578562108152e-31
BHNFMJIF_00159	1271.10588008809	1.32921597789958	0.129327680086799	3.49816801182734e-25	1.32465031824012e-24
BHNFMJIF_00160	1588.2563436485	0.518219692669747	0.0789516841984006	4.37426114796267e-11	9.3185872971437e-11
BHNFMJIF_00164	100.03315584531	-0.907439857332888	0.159913815930099	9.25775928419913e-09	1.75382221207261e-08
BHNFMJIF_00165	557.648430017334	-0.298578804437609	0.103383578381745	0.00367737745949304	0.00490218020639726
BHNFMJIF_00167	161.872172204958	-0.325967868760916	0.156368850474555	0.0349232418985429	0.0425836575882528
BHNFMJIF_00168	611.062005688202	0.958066814528966	0.116972616581692	1.8383391344856e-16	5.03750690628335e-16
BHNFMJIF_00169	1822.32656088439	1.56324986049584	0.114155785134036	3.46394754731624e-43	2.18281580176302e-42
BHNFMJIF_00170	738.754873916734	1.8092860298081	0.168680734985487	1.68620838865779e-27	6.87390135721978e-27
BHNFMJIF_00171	342.486309812603	0.199426840933641	0.302586239503176	0.491832572668925	0.525746570072124
BHNFMJIF_00172	307.489226599083	-0.855691044063795	0.13109471956379	4.58932189170514e-11	9.76413716907885e-11
BHNFMJIF_00173	285.944162946685	-0.265509341215635	0.126754495108019	0.034269823893509	0.0418487272545736
BHNFMJIF_00174	230.462863615985	-1.18582069729255	0.119873528720897	1.88008943127267e-23	6.78475989296432e-23
BHNFMJIF_00175	290.730272158344	-1.19657737497184	0.230189345031944	1.04662730118446e-07	1.87112254927508e-07
BHNFMJIF_00176	308.681127883796	-0.0734859089178966	0.161273505754559	0.643930088143791	0.672653322066055
BHNFMJIF_00177	297.252470939988	-0.741281650309732	0.211848520696032	0.000349267043297336	0.000500990346206692
BHNFMJIF_00178	191.258124274231	-0.787293699608738	0.164778848463808	1.30229018599782e-06	2.17619544239109e-06
BHNFMJIF_00179	213.297548246358	-0.405754490260481	0.177679530007959	0.0205035906138196	0.0255578921128095
BHNFMJIF_00180	253.040609035667	-1.38088552533853	0.173486991575159	7.73558505550743e-16	2.06825116220935e-15
BHNFMJIF_00181	270.581191519668	-0.876955759016634	0.177652157407226	5.55997973661671e-07	9.50753655634821e-07
BHNFMJIF_00182	308.693065433612	-0.667162743061699	0.162127198222618	3.13822601353344e-05	4.81749060747905e-05
BHNFMJIF_00183	357.423292441724	-1.47082519881379	0.181747588161579	2.51212484239297e-16	6.84974089973708e-16
BHNFMJIF_00184	413.323617395854	-0.269843753710392	0.155078653426822	0.0781647058032696	0.092047025164906
BHNFMJIF_00185	366.85088432203	-1.24176380262135	0.138582978787224	1.76259552427836e-19	5.35919928284267e-19
BHNFMJIF_00186	1517.56820926146	0.35800027931339	0.092610738910386	0.000104419826049144	0.000155033392812173
BHNFMJIF_00187	763.458945007393	0.805583583070894	0.125346262869552	8.6076118866658e-11	1.81380564452907e-10
BHNFMJIF_00188	303.527101585534	1.12961725535172	0.113882721780307	1.13414810687294e-23	4.11082003171728e-23
BHNFMJIF_00189	456.686615621453	0.00687854223920365	0.139402771714984	0.961709146243392	0.965804014870949
BHNFMJIF_00190	1136.25721368028	0.146870526085155	0.23875131753252	0.52934543099593	0.562351174084859
BHNFMJIF_00191	2970.35842695534	2.92154306816864	0.176205326055796	6.79160118008059e-63	6.77518643402601e-62
BHNFMJIF_00192	3857.85117385311	-0.0688159487404701	0.194578446044054	0.696093978704702	0.719856660721242
BHNFMJIF_00193	54.6670429647805	-2.33919456456943	0.424945653002227	6.70465486947358e-09	1.27821999878763e-08
BHNFMJIF_00194	46.332750027273	-1.23406212406084	0.404057056561472	0.000976994034823172	0.0013646507203833
BHNFMJIF_00195	53.115950262443	-0.752065222826319	0.381838592506234	0.0336656826754764	0.0411566398350326
BHNFMJIF_00196	39.7506221149417	-0.424121708627008	0.231584463329631	0.0593068935845734	0.0704682844966756
BHNFMJIF_00199	296.729148498301	2.18913820974643	0.204824672827236	2.33419519978028e-27	9.48033523945201e-27
BHNFMJIF_00200	147.886147668068	0.198318006136114	0.364972273096897	0.569491657256382	0.600786406473026
BHNFMJIF_00201	21.0231421088889	-6.14260814880878	0.817323984287854	2.10443454391822e-14	5.220768492876e-14
BHNFMJIF_00202	82.435906644652	-3.48007216667952	0.222504918259979	7.52434986833042e-56	6.40345444980078e-55
BHNFMJIF_00203	146.463034880488	0.961479375775021	0.237943789083437	2.95941870882278e-05	4.54934849931696e-05
BHNFMJIF_00204	258.609394865617	1.11685493890472	0.263218920853645	1.02762412426988e-05	1.63135329727844e-05
BHNFMJIF_00205	36.7260364238934	2.83132710385786	0.268198051194353	8.45886086014728e-27	3.40208995861222e-26
BHNFMJIF_00207	396.809605423492	1.04781478041243	0.102604042517981	8.06795913674627e-25	3.02731830335638e-24
BHNFMJIF_00208	340.895890987954	1.4244674835362	0.153344392054101	4.20120830618848e-21	1.37078950860023e-20
BHNFMJIF_00209	57.7542199958803	0.854203647618427	0.23076112341804	0.000152839465647478	0.000224300406919098
BHNFMJIF_00210	98.0630435770498	-0.101846864463097	0.183698888951655	0.570983240944416	0.602167569977152
BHNFMJIF_00211	71.7145626684549	-0.921964767022381	0.215093724239674	1.17477755326661e-05	1.86137978929288e-05
BHNFMJIF_00212	101.704148362207	-0.928221602511432	0.146481943493549	1.59524838814475e-10	3.30666050072439e-10
BHNFMJIF_00213	39.686517611719	-1.89578255246361	0.237352696134738	4.40292538053398e-16	1.18681302910394e-15
BHNFMJIF_00214	1775.20137971187	0.852904491972987	0.138016760112408	4.16131515737764e-10	8.44539806371295e-10
BHNFMJIF_00215	48.0698854590206	-0.0921131074264012	0.2785279400008	0.727976828568395	0.749541468017724
BHNFMJIF_00216	243.950688778337	0.243040665659685	0.169827975143696	0.146178791629094	0.167018121093172
BHNFMJIF_00217	71.7504093770387	0.241671483927151	0.182571061739343	0.177109530201751	0.200554070207881
BHNFMJIF_00218	461.84055373781	0.191549523183492	0.13263358758988	0.145419152686577	0.166207698916953
BHNFMJIF_00219	517.216820464647	0.360571375761934	0.0776074706607921	3.19574265435793e-06	5.23170165824982e-06
BHNFMJIF_00220	347.248498427557	1.12116338772313	0.231439246874095	5.83488015264052e-07	9.95698928373075e-07
BHNFMJIF_00221	535.408463130802	0.0215096590522069	0.104968719018154	0.837722341500124	0.850864094627318
