featureID	uniq_len	num_alignments	counts	tpm
JJAGMNAF_00173	1326	51.5	49.36	23.47
JJAGMNAF_00174	2310	39.5	39.12	10.68
JJAGMNAF_00175	3294	24.0	23.34	4.47
JJAGMNAF_00176	1182	16.5	16.03	8.55
JJAGMNAF_00177	1596	42.0	39.76	15.71
JJAGMNAF_00178	906	4.0	1.63	1.13
JJAGMNAF_00179	1614	39.0	38.52	15.05
JJAGMNAF_00180	2139	25.5	24.70	7.28
JJAGMNAF_00181	318	2.5	1.22	2.41
JJAGMNAF_00182	1782	4.0	4.00	1.42
JJAGMNAF_00183	1284	1.0	1.00	0.49
JJAGMNAF_00184	1854	7.0	6.40	2.18
JJAGMNAF_00185	3288	5.5	5.01	0.96
JJAGMNAF_00186	1134	5.0	5.00	2.78
JJAGMNAF_00187	2093	18.0	18.00	5.42
JJAGMNAF_00188	2333	36.5	36.40	9.84
JJAGMNAF_00189	2868	11.5	10.87	2.39
JJAGMNAF_00190	1275	9.5	8.14	4.03
JJAGMNAF_00191	1462	9.0	7.85	3.39
JJAGMNAF_00192	672	27.0	25.98	24.38
JJAGMNAF_00193	800	10.5	10.39	8.19
JJAGMNAF_00194	1425	18.5	18.12	8.02
JJAGMNAF_00195	2763	194.0	184.59	42.13
JJAGMNAF_00196	987	709.5	649.57	415.02
JJAGMNAF_00197	165	1122.0	501.13	1915.29
JJAGMNAF_00198	135	2928.5	1978.98	9244.23
JJAGMNAF_00199	389	436.0	404.33	655.46
JJAGMNAF_00200	971	930.5	895.90	581.84
JJAGMNAF_00201	720	154.5	150.90	132.16
JJAGMNAF_00202	1257	101.5	95.00	47.66
JJAGMNAF_00203	1242	62.5	58.63	29.77
JJAGMNAF_00204	1095	37.5	35.04	20.18
JJAGMNAF_00205	1317	69.5	64.01	30.65
JJAGMNAF_00206	1359	0.0	0.00	0.00
JJAGMNAF_00207	954	371.0	329.52	217.82
JJAGMNAF_00208	834	149.0	145.32	109.88
JJAGMNAF_00209	1395	818.5	807.99	365.25
JJAGMNAF_00210	954	280.5	268.72	177.63
JJAGMNAF_00211	660	133.0	105.22	100.54
JJAGMNAF_00212	709	132.0	115.41	102.65
JJAGMNAF_00213	2134	431.0	424.55	125.46
JJAGMNAF_00214	1011	534.5	502.36	313.35
JJAGMNAF_00215	642	698.5	663.13	651.37
JJAGMNAF_00216	1542	4226.5	4094.76	1674.59
JJAGMNAF_00217	2694	1343.5	1323.68	309.85
JJAGMNAF_00218	846	292.5	278.79	207.81
JJAGMNAF_00219	1029	285.0	277.54	170.09
JJAGMNAF_00221	2454	184.0	179.24	46.06
JJAGMNAF_00222	1884	18.0	17.78	5.95
JJAGMNAF_00223	384	7.0	5.60	9.19
JJAGMNAF_00224	1689	21.5	20.37	7.61
JJAGMNAF_00225	3072	33.0	32.39	6.65
JJAGMNAF_00226	1647	33.5	33.08	12.66
JJAGMNAF_00227	861	14.0	12.81	9.38
JJAGMNAF_00228	933	12.5	9.51	6.43
JJAGMNAF_00229	927	14.0	13.08	8.90
JJAGMNAF_00230	1260	36.5	36.13	18.08
JJAGMNAF_00231	1020	68.5	63.43	39.22
JJAGMNAF_00232	645	66.0	64.37	62.93
JJAGMNAF_00238	429	8.5	6.56	9.64
JJAGMNAF_00239	297	37.0	32.91	69.88
JJAGMNAF_00240	99	6.5	2.72	17.32
JJAGMNAF_00241	534	30.0	25.38	29.97
JJAGMNAF_00242	1459	231.0	218.80	94.57
JJAGMNAF_00243	926	362.5	340.40	231.82
JJAGMNAF_00244	1354	874.5	825.97	384.69
JJAGMNAF_00245	294	87.5	77.38	165.97
JJAGMNAF_00246	3171	1135.0	1113.64	221.47
JJAGMNAF_00247	1023	498.5	481.27	296.67
JJAGMNAF_00248	1326	706.5	695.13	330.59
JJAGMNAF_00249	630	504.0	453.67	454.11
JJAGMNAF_00250	768	587.5	523.73	430.04
JJAGMNAF_00251	1386	2368.0	2295.05	1044.22
JJAGMNAF_00252	3219	5441.0	5398.63	1057.61
JJAGMNAF_00253	1212	2020.0	1999.95	1040.59
JJAGMNAF_00254	2286	464.5	462.17	127.49
JJAGMNAF_00255	1335	8441.5	8418.57	3976.68
