featureID	uniq_len	num_alignments	counts	tpm
BHNFMJIF_00199	1866	109.0	107.44	59.90
BHNFMJIF_00200	3105	81.0	77.98	26.13
BHNFMJIF_00201	576	0.5	0.17	0.31
BHNFMJIF_00202	1059	7.0	6.73	6.61
BHNFMJIF_00203	1971	71.5	70.39	37.16
BHNFMJIF_00204	3201	124.0	120.97	39.32
BHNFMJIF_00205	285	22.0	14.79	53.98
BHNFMJIF_00206	555	9.5	2.48	4.66
BHNFMJIF_00207	3087	152.0	151.94	51.21
BHNFMJIF_00208	1683	147.5	146.49	90.56
BHNFMJIF_00209	633	15.5	14.99	24.64
BHNFMJIF_00210	1734	42.0	40.50	24.30
BHNFMJIF_00211	2010	23.0	20.95	10.84
BHNFMJIF_00212	3456	27.0	26.67	8.03
BHNFMJIF_00213	885	5.5	5.31	6.24
BHNFMJIF_00214	4404	585.0	582.06	137.51
BHNFMJIF_00215	2625	21.5	21.50	8.52
BHNFMJIF_00216	2130	90.0	87.69	42.84
BHNFMJIF_00217	798	23.0	20.77	27.08
BHNFMJIF_00218	1662	137.0	133.21	83.39
BHNFMJIF_00219	2001	186.0	182.06	94.66
BHNFMJIF_00220	351	115.0	104.20	308.87
BHNFMJIF_00221	849	183.0	165.23	202.48
BHNFMJIF_00222	825	707.5	641.29	808.75
BHNFMJIF_00223	1431	1042.5	1004.58	730.40
BHNFMJIF_00224	378	305.5	302.46	832.51
BHNFMJIF_00225	1125	322.0	316.17	292.41
BHNFMJIF_00226	773	410.0	378.99	510.11
BHNFMJIF_00227	1193	581.5	531.52	463.54
BHNFMJIF_00228	1662	436.0	422.48	264.48
BHNFMJIF_00229	768	80.0	72.99	98.88
BHNFMJIF_00230	1701	242.5	235.27	143.90
BHNFMJIF_00231	1305	402.5	399.51	318.52
BHNFMJIF_00232	2469	93.0	92.15	38.83
BHNFMJIF_00234	1656	10.0	10.00	6.28
BHNFMJIF_00235	736	1.0	1.00	1.41
BHNFMJIF_00236	211	0.5	0.50	2.47
BHNFMJIF_00237	618	2.0	1.47	2.48
BHNFMJIF_00238	892	3.5	3.50	4.08
BHNFMJIF_00239	349	0.0	0.00	0.00
BHNFMJIF_00240	1047	4.0	3.56	3.54
BHNFMJIF_00241	1026	3.0	2.24	2.27
BHNFMJIF_00242	243	4.0	2.13	9.11
BHNFMJIF_00243	663	33.0	29.68	46.58
BHNFMJIF_00244	741	36.5	29.07	40.82
BHNFMJIF_00245	762	62.0	50.68	69.19
BHNFMJIF_00246	183	16.5	10.28	58.46
BHNFMJIF_00247	1120	294.0	285.01	264.77
BHNFMJIF_00248	703	70.0	44.02	65.15
BHNFMJIF_00249	105	46.0	13.42	132.93
BHNFMJIF_00250	174	5.0	1.75	10.47
BHNFMJIF_00253	2229	498.0	495.08	231.09
